NL Statement,Logic Expression
"If the FADECU (Full Authority Digital Engine Control Unit) is not responding to commands consecutively for 10 samples, FADECU communication error shall be declared.",(FADECU is not responding to commands persists for 10 samples) --> FADECU communication error declared
"If the FADECU (Full Authority Digital Engine Control Unit) is not responding to commands consecutively for 10 samples, the Flight Computer shall declare FADECU communication error.",(FADECU is not responding to commands persists for 10 samples) --> FADECU communication error declared
"If FADECU communication error is declared, the engine throttle shall assumed to be at fail safe value of 90%.",FADECU communication error declared --> Engine throttle assumed to be at 90%
"If FADECU communication error is declared, the Flight Computer shall assume that the engine throttle is at fail safe value of 90%.",FADECU communication error declared --> Engine throttle assumed to be at 90%
Engine failure shall be declared if the measured engine RPM is 90% or less in comparison to expected engine RPM continuously for 300 samples.,(Measured engine rpm is less than 90% of expected engine rpm persists for 300 samples) --> Engine failure declared
"If the measured engine RPM is 90% or less in comparison to expected engine RPM continuously for 300 samples, the Flight Computer shall declare Engine failure.",(Measured engine rpm is less than 90% of expected engine rpm persists for 300 samples) --> Engine failure declared
"At all times, the absolute commanded rate of change to engine throttle shall not exceed 5 percent per second.",absolute(commanded rate of change to engine throttle position) <= 5 pecent per second
The Flight Computer shall declare failure of INS if INS reports GNSS unavailability continuously for more than 5 seconds.,(INS has reported GNSS unavailability persists for 5 seconds) --> INS Failure declared
"If the INS reports GNSS unavailability continuously for more than 5 seconds, the Flight Computer shall declare failure of that INS.",(INS has reported GNSS unavailability persists for 5 seconds) --> INS Failure declared
The Flight Computer shall declare communication failure of INS if INS does not respond for 5 consecutive commands.,(INS does not respond to command persists for 5 commands) --> INS communication failure declared
"If the INS does not respond for 5 consecutive commands, the Flight Computer shall declare communication failure of that INS.",(INS does not respond to command persists for 5 commands) --> INS communication failure declared
The Flight Computer shall consider inputs from primary INS only if it has not declared any failure for primary INS or if one or more failures are already declared for secondary INS.,Primary INS inputs are selected inputs --> (No failures declared for primary INS or Secondary INS has one or more failures)
"If primary INS is healthy or if secondary INS is declared to have one or more failures, only then the Flight Computer shall consider inputs from primary INS.",Primary INS inputs are selected inputs --> (No failures declared for primary INS or Secondary INS has one or more failures)
The Flight Computer shall consider inputs from secondary INS only if it has not declared any failure for secondary INS and if one or more failures are already declared for primary INS.,Secondary INS inputs are selected inputs --> (No failures declared for secondary INS and Primary INS has one or more failures)
"If secondary INS is healthy and if primary INS is declared to have one or more failures, only then the Flight Computer shall consider inputs from secondary INS.",Secondary INS inputs are selected inputs --> (No failures declared for secondary INS and Primary INS has one or more failures)
"During landing, landing gear shall be extended before the altitude drops below 100 meters.",During landing --> (Altitude < 100 meters --> landing gear retracted)
"During landing, the Flight Computer shall extend the landing gear before the altitude becomes less than 100 meters.",During landing --> (Altitude < 100 meters --> landing gear retracted)
"During landing, if autolanding is selected, the Flight Computer shall initiate Flare when the altitude is 30 meters or less.",During landing --> (Altitude <= 30 meters --> Flare initiated)
"During landing, the Flight Computer shall set the AIA to false when at least 2 of 3 WOW switches read true persistently for 10 samples.",(During landing and at least 2 of 3 WOW switches read true persistently for 10 samples) --> Flight Computer sets the AIA to false
"During landing, the Flight Computer shall set the Engine throttle to 0 and air brakes applied as soon as AIA is set to false.",(During landing and AIA is set to false) --> (from the next instance) (Engine throttle set to 0 and Air brakes applied)
"During landing, once air brakes are applied, they shall remain applied until the speed becomes zero.",(During landing and Air brakes applied) --> (from the next instance) (Air brakes applied until Speed becomes zero)
"During landing, the Flight Computer shall apply intermittent wheel brakes only when AIA is false and speed is less than 100 m/s and higher than 80 m/s.",During landing --> (Intermittent wheel brakes applied --> (AIA is false and speed < 100 m/s and > 80 m/s))
"During landing, the Flight Computer shall apply continuous wheel brakes only when AIA is false and speed is less than or equal to 80 m/s.",During landing --> (Continuous wheel brakes applied --> (AIA is false and speed >= 80 m/s))
"During landing, intermittent wheel brake and continuous wheel brake should never be active at the same time.",During landing -->always(not(Intermittent wheel brake applied and Continuous wheel brake applied))
"When the Computer boots up, if the other Computer has already assumed the role of Active computer, the Computer shall assume the role of Standby Computer",(Computer boots up and Other computer has already assumed the role of Active Computer) --> (from the next instance) The computer assumes the role of Standby Computer
The Standby Computer shall configure itself as the Remote Terminal.,This computer is Standby Computer --> This computer is Remote Termnial
The Active Computer shall send commands on primary bus to all the Remote Terminals.,always (Active Computer sends commands on primary bus to all the remote terminals.)
"After sending the commands on primary bus, if for any remote termnial, response is not received within 20 micro seconds, the Active Computer shall re-send the message on secondary bus to that Remote Terminal.",(Command sent on primary bus and Response not received within 20 micro seconds) --> Message resent on secondary bus
"If a remote terminal does not respond on either primary or secondary bus for 3 consecutive commands, the Active Computer shall declare communication failure for that remote terminal.",(Remote terminal does not respond on either primary or secondary bus persists for 3 commands) --> Communication failure declared for that remote terminal
The Active Computer shall share the health and status information to Standby Computer every 10 milli seconds.,always(Active Computer shares health and status information to Standby Computer is repeated every 10 milli seconds)
"If the Active Computer does not send health and status information to Standby Computer for 3 consecutive times, the Standby Computer shall takeover as Active Computer.",(Active Computer does not send health and status information persists for 3 times) --> Standby Computer takes over as Active Computer
"When the other Computer boots up, the Active Computer shall detect the same.",Other Computer boots up-->from the next instance (Active Computer detects the booting up of other Computer)
"When the other Computer boots up, the Active Computer shall send the state information to Standby Computer.",Standby Computer boots up --> from the next instance (Active Computer sends state information to other Computer)
"When the other Computer receives state information, it shall synchronize itself and configure itself as Standby Computer.",the other computer receives state information --> from the next instance(Other computer synchronizes and Other computer configures itself as Standby Computer)
"If the bus voltage is less than 26 volts continuously for 100-time units, the Mission Computer shall turn off Payload devices.",(bus voltage < 26 volts persists for 100 time units) --> Payload devices turned off
"If the temperature inside the refrigerator is above 4 degrees Celsius and the door is closed, the cooling system shall be activated within 5 minutes.","Triggered_Timed_Action((Temperature > 4 degrees Celsius and  Door is closed), (Cooling system activated), 5 minutes)"
"If the refrigerator door is open or the light switch is on, the internal light shall remain on. ",(Door is open or Light switch is on)-->(Internal light remains on)
"The refrigerator shall remain operational as long as there is a stable power supply, and a power failure does not occur.",(Refrigerator is operational)-->(Stable power supply and (not(Power failure)))
"If the freezer temperature is below -10 degrees Celsius, the ice maker shall produce ice continuously.",(Freezer temperature < -10 degrees Celsius)-->(Ice maker produces ice continuously)
"If the refrigerator door is left open for more than 5 minutes, an alarm shall be triggered.",(Refrigerator door is left open for > 5 minutes)-->(An alarm is triggered)
"If the humidity level is above 70%, the freshness sensor shall always activate the vegetable crisper fan.",(Humidity level > 70%)-->(Always the freshness sensor activates the vegetable crisper fan)
"If the child lock feature is activated, the door lock shall always engage.",(Child lock is activated)-->(Always engage door lock)
"If the freshness indicator detects a decrease in freshness level below 80%, the fresh food preservation system shall be activated.",(Freshness level < 80%)-->(Activate fresh food preservation system)
"If the ambient temperature is below -5 degrees Celsius and the door is closed, the door heater shall be activated.",(Ambient temperature < -5 degrees Celsius and Door is closed)-->(Activate door heater)
"If the vacation mode is enabled, the energy-saving features shall be optimized for efficient performance.",(Vacation mode is enabled)-->(Optimize energy-saving features for efficient performance)
"If the internal temperature of the dairy compartment exceeds 8 degrees Celsius, the cooling system shall prioritize cooling the dairy compartment first.",(Internal temperature of dairy compartment > 8 degrees Celsius)-->(Prioritize cooling of dairy compartment)
"If the touch screen is touched, the smart display shall respond with the relevant information.",(Touch screen is touched)-->(Respond with relevant information on smart display)
"If a sudden power surge is detected, the refrigerator's internal electronics shall always be protected within 1 millisecond.","Triggered_Timed_Action((Sudden power surge is detected),(Always protect internal electronics),1 millisecond)"
"If the door is closed,  the door seal integrity check  shall  be initiated to ensure an airtight seal.",(Door is closed)-->(Initiate door seal integrity check for airtight seal)
"If the ice dispenser button is pressed,  the ice dispenser shall operate and dispense ice cubes.",(Ice dispenser button is pressed)-->(Ice dispenser operates and dispenses ice cubes)
"If the external temperature rises above 30 degrees Celsius,  the refrigerator shall adaptively adjust its internal temperature to maintain freshness.",(External temperature > 30 degrees Celsius)-->(Adaptively adjust internal temperature for freshness)
"If the refrigerator has been idle for more than 2 hours,  the energy-saving mode shall be activated to conserve power.",(Refrigerator has been idle for > 2 hours)-->(Activate energy-saving mode to conserve power)
"If the engine temperature exceeds 100 degrees Celsius, the cooling system shall be activated to prevent engine overheating.",(Engine temperature > 100 degrees Celsius)-->(Activate cooling system to prevent engine overheating)
"If the ambient light is below 50 lux, the car headlights shall  be turned on.",(Ambient light < 50 lux)-->(Turn on car headlights)
"If the brake pedal is pressed, the brake system integrity check shall be conducted to ensure optimal braking performance.",(Brake pedal is pressed)-->(Conduct brake system integrity check for optimal braking performance)
"If the car is stationary, the automatic transmission system shall engage the parking gear.",(Car is stationary)-->(Engage parking gear in automatic transmission)
"If a collision is detected, the airbag system shall deploy to enhance passenger safety.",(Collision is detected)-->(Deploy airbag system for passenger safety)
"If the cruise control button is engaged, the cruise control system shall maintain a constant speed set by the driver.",(Cruise control button is engaged)-->(Maintain constant speed set by the driver in cruise control)
"If the fuel level is below 20%, the car's engine shall operate in a fuel-efficient mode to conserve fuel.",(Fuel level < 20%)-->(Operate engine in fuel-efficient mode to conserve fuel)
"If the car deviates from its lane without using the turn signal, the lane departure warning system shall activate.",(Car deviates from its lane without using turn signal)-->(Activate lane departure warning system)
"If sudden braking is detected, the ABS shall be activated to prevent wheel lockup and ensure steering control.",(Sudden braking is detected)-->(Activate ABS to prevent wheel lockup and ensure steering control)
"If the driver-side window switch is pressed, the power windows system shall operate to open or close the driver-side window.",(Driver-side window switch is pressed)-->(Operate power windows system to open or close driver-side window)
"If the car's forward collision sensor detects an imminent collision, and the driver applies moderate brake pressure, the emergency brake assist shall be activated to provide additional stopping power.",(Forward collision sensor detects imminent collision and Driver applies moderate brake pressure)-->(Activate emergency brake assist for additional stopping power)
"If the tire pressure drops below 28 psi, the TPMS shall  issue an alert to notify the driver of low tire pressure.",(Tire pressure < 28 psi)-->(Issue TPMS alert for low tire pressure)
" If the convertible top switch is engaged, the convertible top system shall operate to either open or close the convertible top.",(Convertible top switch is engaged)-->(Operate convertible top system to open or close the convertible top)
"If the adaptive cruise control is set, the system shall adjust the car's speed to maintain a safe following distance from the vehicle ahead.",(Adaptive cruise control is set)-->(Adjust car's speed to maintain safe following distance from the vehicle ahead)
"If an obstacle is detected within 2 meters in front of the car, the collision avoidance system shall take corrective actions, such as steering or braking, to prevent a collision.","(Obstacle is detected < 2 meters in front of the car)-->(Take corrective actions, such as steering or braking, in collision avoidance system to prevent a collision)"
"If the battery charge level falls below 20%, the car's charging system shall switch to a rapid charging mode to quickly replenish the battery.",(Battery charge < 20%)-->(Switch charging system to rapid charging mode to quickly replenish the battery)
"If the ultrasonic sensors detect an obstacle in the car's path while parking, the parking assistance system shall provide audio and visual alerts to assist the driver.",(Ultrasonic sensors detect obstacle while parking)-->(Provide audio and visual alerts in parking assistance system)
"If the outside temperature drops below 10 degrees Celsius, and the driver activates the heated seat function, the heated seat system shall warm the driver's seat.",(Outside temperature < 10 degrees Celsius and Driver activates heated seat)-->(Warm driver's seat in heated seat system)
"If the rain sensor detects rainfall, the rain-sensing wipers shall activate to adjust their speed based on the intensity of the rain.",(Rain sensor detects rainfall)-->(Activate rain-sensing wipers to adjust speed based on rain intensity)
"If the engine control unit (ECU) detects a high demand for power, the fuel injection system shall adjust the air-fuel mixture to optimize engine performance.",(ECU detects high power demand)-->(Adjust air-fuel mixture in fuel injection system to optimize engine performance)
"If the gear selector is in the ""Park"" position and the ignition is off, the parking brake shall be engaged.","(Gear selector is in ""Park"" position and Ignition is off)-->(Engage parking brake)"
"If the fuel level is below 10 liters and the engine is running, the low fuel warning indicator shall be activated.",(Fuel level < 10 liters and Engine is running)-->(Activate low fuel warning)
"If the car is in motion and the driver's seat belt is not fastened, the seat belt reminder shall sound.",(Car is in motion and (not (Driver's seat belt is fastened))-->(Sound seat belt reminder)
"If the turn signal lever is engaged and the steering wheel is turned, the turn signals shall be activated.",(Turn signal lever is engaged and Steering wheel is turned)-->(Activate turn signals)
"If the brake pedal is pressed suddenly and the car is in motion, the emergency brake assistance system shall assist in braking.",(Brake pedal is pressed suddenly and Car is in motion)-->(Assist in braking with emergency brake assistance)
"If any car door is open and the ignition is on, the door ajar warning shall be displayed.",(Any car door is open and Ignition is on)-->(Display door ajar warning)
"If the car is started and the tire pressure is below the recommended threshold of 30 psi, the TPMS shall be activated.",(Car is started and Tire pressure < 30 psi) --> (Activate TPMS)
"If the hazard light button is pressed and the car is stationary, the hazard lights shall be operational.",(Hazard light button is pressed and Car is stationary)-->(Operate hazard lights)
"If the ignition is on and the audio system button is pressed, the car audio system shall be powered.",(Ignition is on and Audio system button is pressed)-->(Power car audio system)
"If the bike is parked and the battery level is below 20%, the battery charging system shall optimize charging for efficient battery health.",(Bike is parked and Battery level < 20%)-->(Optimize charging for efficient battery health)
"If the rider activates the cruise control button, and the speed is above 40 mph, the cruise control system shall engage to maintain a constant speed.",(Rider activates cruise control button and Speed > 40 mph)-->(Engage cruise control for constant speed)
"If the bike is in gear and the side stand is down, the side stand alert system shall warn the rider.",(Bike is in gear and Side stand is down)-->(Warn rider with side stand alert)
"If the bike is in motion and the ambient temperature is above 35 degrees Celsius, the engine cooling system shall regulate temperature for optimal performance.",(Bike is in motion and Ambient temperature > 35 degrees Celsius)-->(Regulate engine temperature for optimal performance)
"If the bike is parked and the security system is armed, the security features shall always be activated for theft prevention.",(Bike is parked and Security system is armed)-->(Always activate security features for theft prevention)
"If the rider activates the left turn signal, the indicator signal shall operate until the turn is completed.",(Rider activates left turn signal)-->(Operate indicator signal until turn is completed)
"If the rider accelerates and the throttle position is above 70%, the fuel injector system shall activate for efficient fuel delivery.",(Rider accelerates and Throttle position > 70%)-->(Activate fuel injector for efficient fuel delivery)
"If the rider adjusts the side mirrors, the side mirror adjustment system shall respond to the rider's preference.",(Rider adjusts side mirrors)-->(Respond to rider's preference with side mirror adjustment)
"If the rider switches to high beam and it is nighttime, the high beam shall always be illuminated for improved visibility.",(Rider switches to high beam and It is nighttime)-->(Always illuminate high beam for improved visibility)
"If the bike is in motion, and the speed sensor is operational, the speedometer shall always display the current speed.",(Bike is in motion and Speed sensor is operational)-->(Always display current speed on speedometer)
"If the battery level is below 20% and the phone is not in use, the low power mode shall be activated to conserve battery.",(Battery level < 20% and (not(Phone is in use)))-->(Low power mode activated)
"If the ambient light is low and the phone is in silent mode, incoming calls shall trigger vibration instead of an audible ringtone.",(Low ambient light and Phone is in silent mode)-->(Incoming calls trigger vibration)
"If the screen brightness is set to maximum and the phone is charging, the display timeout setting shall be temporarily disabled.",(Screen brightness set to maximum and Phone is charging)-->(Display timeout setting temporarily disabled)
"If the phone's storage capacity is below 10%, automatic cleanup shall be initiated to free up space.",(Storage capacity < 10%)-->(Automatic cleanup initiated to free up space)
"If the GPS location is enabled and the calendar indicates a scheduled event, the phone shall send a location-based reminder.",(GPS location is enabled and Scheduled event in calendar)-->(Send location-based reminder)
"If the phone is in airplane mode, all wireless communication features, including Wi-Fi and Bluetooth, shall be deactivated.",(Phone is in airplane mode)-->(Deactivate all wireless communication features)
"If the phone's internal temperature exceeds 40 degrees Celsius, background processes shall be restricted to prevent overheating.",(Internal temperature > 40 degrees Celsius)-->(Restrict background processes to prevent overheating)
"If the phone is connected to a Wi-Fi network and the battery level is below 30%, automatic app updates shall be paused.",(Phone is connected to Wi-Fi and Battery level < 30%)-->(Pause automatic app updates)
"If the phone detects unauthorized access attempts, the security system shall always trigger an authentication challenge.",(Unauthorized access attempts detected)-->(Always trigger authentication challenge)
"If the phone's screen is facing downward and a call is incoming, the ringing volume shall be automatically reduced.",(Screen facing downward and Incoming call)-->(Automatically reduce ringing volume)
"If the phone's orientation changes to landscape mode while watching a video, the auto-rotate feature shall adjust the screen orientation.",(Orientation changes to landscape mode and Watching a video)-->(Auto-rotate adjusts screen orientation)
"If the phone's battery temperature is too low, certain high-power-consuming features, such as the camera flash, shall be temporarily disabled.",(Battery temperature is too low)-->(Temporarily disable high-power-consuming features)
"If the phone is in driving mode and motion is detected, incoming notifications shall be automatically silenced to minimize distractions.",(Phone is in driving mode and Motion detected)-->(Automatically silence incoming notifications)
"If the phone is connected to a Wi-Fi network with poor signal strength, always switch to mobile data for internet connectivity.",(Phone is connected to Wi-Fi with poor signal strength)-->(Always switch to mobile data for internet connectivity)
"If the phone is in a low battery state and the user opens a camera app, disable the flash to conserve power.",(Phone is in low battery state and User opens camera app)-->(Disable flash to conserve power)
"If the ambient light is below 50 lux and the phone is unlocked, the screen brightness shall automatically increase.",(Ambient light < 50 lux and Phone is unlocked)-->(Automatically increase screen brightness)
"If the phone's storage is nearly full and a new app is being installed, prompt the user to clear space before proceeding.",(Storage is nearly full and Installing new app)-->(Prompt user to clear space)
"If the phone's gyroscope detects a shaking motion and music is playing, the next track shall be skipped.",(Gyroscope detects shaking motion and Music is playing)-->(Skip to next track)
"If the phone is connected to a Wi-Fi network and the download size exceeds 1 GB, the automatic update shall be postponed until connected to a high-speed network.",(Phone is connected to Wi-Fi and Download size > 1 GB)-->(Postpone automatic update until connected to high-speed network)
"If the phone is in silent mode and a call is received from a favorite contact, vibrate mode shall be activated.",(Phone is in silent mode and Call received from favorite contact)-->(Activate vibrate mode)
"If the phone detects no user activity for more than 15 minutes, dim the screen brightness to conserve power.",(No user activity for > 15 minutes)-->(Dim screen brightness to conserve power)
"If the phone is in driving mode and receives a text message, automatically send a predefined response.",(Phone is in driving mode and Text message is received)-->(Automatically send predefined response)
"If the phone receives multiple failed unlock attempts, automatically activate the security lockout for a specified duration.",(Multiple failed unlock attempts)-->(Automatically activate security lockout)
"If the air conditioner filter is clogged or the fan speed is set to maximum, an alert shall be displayed on the control panel.",(Air conditioner filter is clogged or Fan speed is set to maximum)-->(Display alert on the control panel)
The air conditioner shall remain operational during a power outage if a backup generator is connected.,(Power outage and Backup generator is connected)-->(Air conditioner is operational)
"If the humidity level is above 80%, the dehumidifier function shall be automatically activated.",(Humidity level > 80%)-->(Automatically activate dehumidifier function)
"If the air conditioner's remote control batteries are low, an indicator light shall flash to notify the user.",(Remote control batteries are low)-->(Flash indicator light to notify the user)
"If the air conditioner's sleep mode is enabled, the temperature shall gradually increase by 1 degree Celsius over the night.",(Sleep mode is enabled)-->(Gradual temperature increase by 1 degree Celsius)
"If the air conditioner detects abnormal refrigerant pressure, it shall automatically shut down to prevent damage.",(Abnormal refrigerant pressure detected)-->(Automatically shut down to prevent damage)
The air conditioner shall switch to energy-saving mode if no motion is detected in the room for more than 30 minutes.,not(Motion detected in the room for > 30 minutes)-->(Switch to energy-saving mode)
"If the air conditioner's timer is set to turn off at a specific time, it shall comply with the schedule even if manually turned on.",(Timer is set to turn off at a specific time)-->(Comply with the schedule even if manually turned on)
"If the air conditioner's air filter is clean and the fan mode is set to auto, it shall adjust the fan speed based on room temperature.",(Air filter is clean and Fan mode is set to auto)-->(Adjust fan speed based on room temperature)
"If the room temperature exceeds 30 degrees Celsius and the air conditioner is turned on, the cooling system shall be activated within 2 minutes.","Triggered_Timed_Action((Room temperature > 30 degrees Celsius and Air conditioner is turned on),(Cooling system activated),2 minutes)"
"If the ambient light in the room is below 50 lux, and the television is turned on, the backlight shall automatically adjust for optimal viewing.",(Ambient light < 50 lux and Television is turned on)-->(Automatically adjust backlight for optimal viewing)
"If the volume level is set above 80% during the night, the television shall automatically decrease the volume to 60% to avoid disturbance.",(Volume level > 80% and Night time)-->(Automatically decrease volume to 60% to avoid disturbance)
The television shall switch to standby mode if no user interaction is detected for more than 15 minutes.,not(User interaction for > 15 minutes)-->(Switch to standby mode)
"If the parental control feature is enabled, certain channels shall be restricted based on content ratings.",(Parental control is enabled)-->(Restrict certain channels based on content ratings)
"If the HDMI input is connected, the television shall automatically switch to the corresponding input source.",(HDMI input is connected)-->(Automatically switch to corresponding input source)
The television shall display a low battery warning if the remote control batteries are below 20%.,(Remote control batteries < 20%)-->(Display low battery warning)
"If the sleep timer is set to turn off the television after 60 minutes, it shall adhere to the timer even if manually turned on.",(Sleep timer is set to turn off after 60 minutes)-->(Adhere to the timer even if manually turned on)
"If the closed captioning option is selected, the television shall always display subtitles during supported programs.",(Closed captioning option is selected)-->(Always display subtitles during supported programs)
The television shall enter energy-saving mode during periods of inactivity to conserve power.,(Periods of inactivity)-->(Enter energy-saving mode)
"If the television is in gaming mode, it shall always optimize the display settings for lower input lag.",(Television is in gaming mode)-->(Always optimize display settings for lower input lag)
"If the external storage device is connected, the television shall allow recording and playback functionalities.",(External storage device is connected)-->(Allow recording and playback functionalities)
"If the fabric softener dispenser is empty, and the washing cycle is set to include fabric softener, an alert shall be displayed.",(Fabric softener dispenser is empty and Fabric softener is included in the cycle)-->(Display alert)
"During the spin cycle, if the washing machine detects excessive vibration, it shall automatically adjust the spin speed to minimize vibration.",(Spin cycle and Excessive vibration detected)-->(Automatically adjust spin speed to minimize vibration)
"If the door is not securely closed, and the washing cycle is initiated, the machine shall display an error and stop the cycle.",(not(Door securely closed) and Washing cycle initiated)-->(Display error and stop cycle)
"If the water temperature exceeds 60 degrees Celsius during the wash cycle, the heating element shall automatically turn off for safety.",(Water temperature > 60 degrees Celsius during wash cycle)-->(Automatically turn off heating element)
"If the detergent drawer is not closed after loading detergent, the washing machine shall prevent the start of the cycle and provide a reminder.",not(Detergent drawer closed after loading detergent)-->(Prevent start of cycle and Provide reminder)
"If the drain pump is clogged, and the draining process is initiated, the machine shall display an error and pause the cycle.",(Drain pump is clogged and Draining process initiated)-->(Display error and Pause cycle)
"If the water pressure is too low during the fill cycle, the machine shall extend the fill time to ensure proper water levels.",(Water pressure too low during fill cycle)-->(Extend fill time for proper water levels)
"If the washing machine is in the middle of a cycle, and the power supply is interrupted, the machine shall resume the cycle once power is restored.",(In the middle of a cycle and Power supply interrupted)-->(Resume cycle once power is restored)
"If the detergent level is critically low, and the washing cycle is initiated, the machine shall display a warning to refill detergent.",(Detergent level critically low and Washing cycle initiated)-->(Display warning to refill detergent)
"If the fabric type selected is delicate, the washing machine shall automatically reduce the spin speed to protect delicate fabrics.",(Fabric type selected is delicate)-->(Automatically reduce spin speed)
"If the washing machine is overloaded and the water level is below 10 liters, the machine shall not start the washing cycle.",(Overloaded and Water level < 10 liters)-->not(Start washing cycle)
"If motion is detected and it is nighttime, the infrared night vision mode shall be activated.",(Motion detected and Night time)-->(Activate infrared night vision mode)
"If the battery level is below 20% and the camera is actively recording, a low battery alert shall be triggered.",(Battery level < 20% and Camera actively recording)-->(Trigger low battery alert)
